RSM Zip,"City, ST, Zip",Lat,Long, Factor 
46201,"Indianapolis, IN 46201", 39.77369 , (86.10949), 0.919 
53813,"Lancaster, WI 53813", 42.84402 , (90.71641), 0.918 
17801,"Sunbury, PA 17801", 40.83669 , (76.75762), 0.917 
44502,"Youngstown, OH 44502", 41.08365 , (80.64253), 0.917 
48067,"Royal Oak, MI 48067", 42.49053 , (83.13786), 0.916 
63334,"Bowling Green, MO 63334", 39.30747 , (91.18838), 0.916 
44052,"Lorain, OH 44052", 41.45519 , (82.16133), 0.915 
49503,"Grand Rapids, MI 49503", 42.96282 , (85.65872), 0.915 
64501,"Saint Joseph, MO 64501", 39.76584 , (94.84448), 0.915 
21740,"Hagerstown, MD 21740", 39.63233 , (77.73902), 0.915 
30303,"Atlanta, GA 30303", 33.75284 , (84.39028), 0.915 
24701,"Bluefield, WV 24701", 37.29929 , (81.20650), 0.915 
05001,"White River Junction, VT 05001", 43.67309 , (72.37943), 0.914 
89301,"Ely, NV 89301", 39.52872 , (114.76615), 0.912 
17701,"Williamsport, PA 17701", 41.34206 , (76.88821), 0.912 
54901,"Oshkosh, WI 54901", 44.06265 , (88.53335), 0.912 
05819,"Saint Johnsbury, VT 05819", 44.40397 , (71.98837), 0.911 
22030,"Fairfax, VA 22030", 38.83891 , (77.34188), 0.911 
83814,"Coeur D Alene, ID 83814", 47.63717 , (116.75811), 0.911 
83702,"Boise, ID 83702", 43.66821 , (116.16493), 0.910 
05905,"Guildhall, VT 05905", 44.70151 , (71.66672), 0.910 
54501,"Rhinelander, WI 54501", 45.65973 , (89.34303), 0.910 
65101,"Jefferson City, MO 65101", 38.49143 , (92.15009), 0.909 
49201,"Jackson, MI 49201", 42.25213 , (84.38301), 0.908 
45801,"Lima, OH 45801", 40.77476 , (84.03703), 0.908 
64601,"Chillicothe, MO 64601", 39.80440 , (93.57334), 0.907 
58501,"Bismarck, ND 58501", 46.81890 , (100.70234), 0.907 
46011,"Anderson, IN 46011", 40.12759 , (85.76178), 0.907 
47802,"Terre Haute, IN 47802", 39.35153 , (87.41060), 0.906 
68102,"Omaha, NE 68102", 41.26231 , (95.93224), 0.906 
44901,"Mansfield, OH 44901", 40.76391 , (82.51247), 0.905 
45501,"Springfield, OH 45501", 39.92634 , (83.80745), 0.905 
65301,"Sedalia, MO 65301", 38.69922 , (93.22104), 0.905 
48502,"Flint, MI 48502", 43.01429 , (83.68866), 0.904 
47401,"Bloomington, IN 47401", 39.08613 , (86.45138), 0.904 
04240,"Lewiston, ME 04240", 44.09147 , (70.16808), 0.904 
21502,"Cumberland, MD 21502", 39.64143 , (78.75609), 0.904 
21921,"Elkton, MD 21921", 39.62568 , (75.85904), 0.904 
46601,"South Bend, IN 46601", 41.67065 , (86.25200), 0.903 
05701,"Rutland, VT 05701", 43.63365 , (72.91368), 0.903 
65401,"Rolla, MO 65401", 37.90691 , (91.76374), 0.903 
80521,"Fort Collins, CO 80521", 40.59372 , (105.12680), 0.902 
22701,"Culpeper, VA 22701", 38.44038 , (77.99633), 0.902 
81601,"Glenwood Springs, CO 81601", 39.59357 , (107.32815), 0.902 
99403,"Clarkston, WA 99403", 46.38114 , (117.25974), 0.901 
57103,"Sioux Falls, SD 57103", 43.53800 , (96.69241), 0.901 
45202,"Cincinnati, OH 45202", 39.10885 , (84.50243), 0.900 
80202,"Denver, CO 80202", 39.75156 , (104.99768), 0.899 
63601,"Park Hills, MO 63601", 37.82120 , (90.54390), 0.899 
45011,"Hamilton, OH 45011", 39.42892 , (84.50173), 0.899 
45402,"Dayton, OH 45402", 39.75983 , (84.20751), 0.899 
68502,"Lincoln, NE 68502", 40.78361 , (96.70083), 0.898 
20601,"Waldorf, MD 20601", 38.61863 , (76.85715), 0.898 
44702,"Canton, OH 44702", 40.79992 , (81.37665), 0.898 
20740,"College Park, MD 20740", 39.00193 , (76.93096), 0.897 
00901,"San Juan, PR 00901", 18.46478 , (66.10277), 0.897 
47708,"Evansville, IN 47708", 37.97387 , (87.57357), 0.896 
41101,"Ashland, KY 41101", 38.47392 , (82.65045), 0.895 
86301,"Prescott, AZ 86301", 34.59452 , (112.42454), 0.895 
63101,"Saint Louis, MO 63101", 38.63127 , (90.19275), 0.895 
47201,"Columbus, IN 47201", 39.15074 , (85.99432), 0.894 
65201,"Columbia, MO 65201", 38.89595 , (92.24365), 0.893 
47901,"Lafayette, IN 47901", 40.41780 , (86.88995), 0.893 
52401,"Cedar Rapids, IA 52401", 41.97534 , (91.65871), 0.893 
22601,"Winchester, VA 22601", 39.17430 , (78.17430), 0.893 
20901,"Silver Spring, MD 20901", 39.02155 , (77.00919), 0.893 
43701,"Zanesville, OH 43701", 39.95986 , (81.99498), 0.893 
43302,"Marion, OH 43302", 40.59995 , (83.12967), 0.893 
25401,"Martinsburg, WV 25401", 39.45642 , (77.97267), 0.893 
04901,"Waterville, ME 04901", 44.55449 , (69.57037), 0.892 
63701,"Cape Girardeau, MO 63701", 37.33522 , (89.58043), 0.892 
22401,"Fredericksburg, VA 22401", 38.29928 , (77.48704), 0.891 
04401,"Bangor, ME 04401", 44.84711 , (68.84654), 0.890 
64801,"Joplin, MO 64801", 37.11056 , (94.49740), 0.890 
48706,"Bay City, MI 48706", 43.59937 , (83.95623), 0.890 
68801,"Grand Island, NE 68801", 40.94949 , (98.29295), 0.890 
04530,"Bath, ME 04530", 43.89156 , (69.83060), 0.890 
63901,"Poplar Bluff, MO 63901", 36.77168 , (90.45012), 0.889 
04730,"Houlton, ME 04730", 46.12574 , (67.91471), 0.889 
48601,"Saginaw, MI 48601", 43.40096 , (83.89520), 0.888 
47501,"Washington, IN 47501", 38.66139 , (87.17479), 0.888 
04654,"Machias, ME 04654", 44.78128 , (67.57716), 0.888 
59101,"Billings, MT 59101", 45.63013 , (108.36445), 0.888 
47302,"Muncie, IN 47302", 40.12992 , (85.37553), 0.887 
42301,"Owensboro, KY 42301", 37.73983 , (87.24643), 0.887 
83201,"Pocatello, ID 83201", 42.88949 , (112.38324), 0.886 
81501,"Grand Junction, CO 81501", 39.07174 , (108.54569), 0.885 
22801,"Harrisonburg, VA 22801", 38.40519 , (78.87931), 0.884 
04841,"Rockland, ME 04841", 44.12739 , (69.13686), 0.884 
31401,"Savannah, GA 31401", 32.06831 , (81.09252), 0.883 
03431,"Keene, NH 03431", 42.96785 , (72.29862), 0.883 
40202,"Louisville, KY 40202", 38.25288 , (85.75205), 0.883 
80401,"Golden, CO 80401", 39.71672 , (105.23286), 0.883 
80631,"Greeley, CO 80631", 40.44216 , (104.67809), 0.882 
63401,"Hannibal, MO 63401", 39.69046 , (91.45986), 0.882 
49014,"Battle Creek, MI 49014", 42.30996 , (85.10711), 0.882 
32301,"Tallahassee, FL 32301", 30.42701 , (84.25799), 0.881 
57501,"Pierre, SD 57501", 44.53525 , (100.31906), 0.881 
03603,"Charlestown, NH 03603", 43.25339 , (72.38059), 0.881 
03743,"Claremont, NH 03743", 43.36026 , (72.32489), 0.880 
37201,"Nashville, TN 37201", 36.16662 , (86.77799), 0.880 
30901,"Augusta, GA 30901", 33.43811 , (81.95327), 0.880 
30720,"Dalton, GA 30720", 34.73472 , (85.00289), 0.879 
